01002dbc	AddSpellMenu_RequiresSpellTome
01000803	AddSpellMenu_SearchEffect
01000805	AddSpellMenu_ListEffect
01000800	AddSpellMenu_SearchSpell
01000801	AddSpellMenu_ListSpell
01000d68	AddSpellMenu_SearchTome
01000d69	AddSpellMenu_ListTome
01005372	AddSpellMenu_Barrel
01003de3	AddSpellMenu_SpellListActivator
01003de4	AddSpellMenu_SpellSearchActivator
0100639c	AddSpellMenu_PackActivator
0100182f	AddSpellMenu_BarterNpc
010022f6	AddSpellMenu_TraderSpellNpc
0100536e	AddSpellMenu_Cell
01005e39	AddSpellMenu_TraderSpellNpcInstance
0100536f	AddSpellMenu_BarterNpcInstance
01005373	AddSpellMenu_PackInstance
01000d6a	AddSpellMenu_Quest
